Geneid	HCO118C	HCO118OE	HCO80C	HCO80OE	HCO83C	HCO83OE	HCO88C	HCO88OE	HCO89C	HCO89OE
EVX2	13	23	0	0	0	0	0	0	0	0
HOXD13	195	168	0	0	0	0	0	0	0	0
HOXD12	26	35	0	0	0	0	0	0	0	0
HOXD11	94	69	0	0	0	0	1	0	0	0
HOXD10	118	79	0	0	0	0	0	0	0	0
HOXD-AS2	1	2	0	0	2	0	3	7	5	9
HOXD9	53	40	2	4	1	0	10	9	1	3
HOXD8	101	82	11	18	11	16	55	45	75	92
HOXD3	5	1	5	4	9	4	9	4	5	3
MIR10B	0	0	0	0	0	0	0	0	0	0
AC009336.2	0	1	0	0	0	0	1	2	3	1
HOXD4	0	0	0	0	2	0	0	0	1	11
HAGLR	253	279	154	162	130	314	416	352	379	395
AC009336.1	0	3	1	1	2	3	5	1	2	0
HAGLROS	50	37	14	14	10	14	42	32	19	16
HOXD1	84	77	34	48	46	59	55	50	52	44
MIR7704	0	0	0	0	0	0	0	0	0	0
AC009336.3	0	0	0	0	0	0	1	0	0	0
AC016739.1	22	21	18	15	11	8	26	15	7	15
RPSAP25	0	0	0	0	0	0	0	0	0	0
MTX2	482	578	584	552	1276	1017	783	878	630	841
PPIAP67	0	0	0	0	0	0	0	0	0	0
AC017048.1	0	0	0	0	0	0	0	0	0	0
AC017048.2	0	0	0	0	0	0	0	0	0	0
MIR1246	0	0	0	0	0	0	0	0	0	0
AC017048.3	1	0	0	0	0	0	0	1	0	0
LINC01116	6	2	0	1	0	2	8	6	3	7
LINC01117	0	8	0	0	0	1	2	1	0	0
RNU6ATAC14P	0	0	0	0	0	0	0	0	0	0
AC092162.2	0	0	0	0	0	0	0	0	0	0
FUCA1P1	0	0	0	0	0	0	0	0	0	0
AC092162.1	0	0	0	0	0	0	0	0	0	0
AC092162.3	0	0	0	0	0	0	0	0	0	1
AC073636.1	0	0	0	0	0	0	0	0	0	0
RNU6-187P	0	0	0	0	0	0	0	0	0	0
AC074286.1	0	2	0	0	0	0	0	0	0	0
RNA5SP112	0	0	0	0	0	0	0	0	0	0
AC079305.3	0	0	1	2	2	0	2	1	0	0
AC079305.2	0	0	0	0	0	0	0	0	0	0
KRT8P40	0	0	1	0	0	0	0	0	0	0
HNRNPA3	3433	3231	3499	3615	1619	1756	1702	1464	1510	1477
MIR4444-1	0	0	0	0	0	0	0	0	0	0
NFE2L2	1053	1650	1043	1254	2207	2165	1851	1766	1729	2380
DNAJC19P5	5	1	4	5	5	0	5	3	4	3
MIR3128	0	0	0	0	0	0	0	0	0	0
AC079305.1	2	5	0	2	0	1	1	2	7	4
AC019080.1	10	22	7	8	8	7	1	5	5	4
AC019080.3	0	0	0	0	0	0	0	0	0	1
AC019080.4	0	0	0	2	0	0	0	0	0	0
MIR6512	0	0	0	0	0	0	0	0	0	0
AC019080.5	1	1	0	2	1	1	0	1	1	1
AC019080.2	0	2	0	0	0	0	0	0	0	0
AGPS	1051	1566	1446	1433	1254	1715	1114	1065	1132	1465
TTC30B	41	47	25	38	39	54	63	64	87	84
AC073834.1	0	0	0	0	0	0	0	0	0	0
TTC30A	65	54	27	28	47	69	74	63	97	83
PDE11A	1	3	0	1	2	1	15	8	10	9
AC012499.1	0	0	0	0	0	0	0	0	0	0
AC011998.3	0	0	0	0	0	0	0	0	0	0
API5P2	0	0	1	0	0	0	0	0	1	0
AC011998.2	0	0	0	0	0	0	0	0	0	0
RNU6-629P	0	0	0	0	0	0	0	0	0	0
CYCTP	0	0	0	0	0	0	0	0	0	0
AC011998.1	0	0	0	0	0	0	0	0	0	0
RBM45	31	35	23	47	141	175	73	94	42	57
RNU5E-9P	0	0	0	0	0	0	0	0	0	0
OSBPL6	0	1	0	1	0	0	3	2	1	0
AC009948.1	0	0	0	0	0	0	3	2	1	1
PRKRA	335	209	289	264	163	163	261	196	159	226
PJVK	1	0	0	0	3	3	6	6	13	4
AC009948.2	1	0	0	0	0	0	0	0	0	1
FKBP7	5	1	3	2	4	15	4	4	6	4
PLEKHA3	232	239	349	266	472	368	425	451	340	413
TTN-AS1	4	8	2	8	20	14	18	30	11	7
TTN	19	13	20	15	35	25	42	41	27	67
AC009948.4	1	1	2	0	0	2	3	0	1	0
AC009948.3	0	0	0	1	0	0	1	0	0	1
AC009948.5	0	0	0	0	4	0	0	0	0	0
AC010680.3	0	0	0	0	0	0	0	0	0	0
AC010680.2	0	0	0	0	0	0	0	0	2	1
AC010680.4	0	0	0	0	0	0	0	0	0	0
AC010680.5	0	0	0	0	0	0	1	0	0	0
AC010680.1	0	0	0	0	0	0	0	0	0	0
CCDC141	0	0	0	0	0	0	1	1	0	2
RNU7-104P	0	0	0	0	0	0	0	0	0	0
RPS6P2	0	0	0	0	0	0	0	0	0	0
SESTD1	924	825	1074	837	2006	1331	1796	1818	1236	1666
AC093911.1	0	0	0	0	0	0	0	0	0	0
AC068042.1	0	0	0	0	0	0	0	0	0	0
ZNF385B	0	0	0	0	0	0	1	0	0	0
AC092642.1	0	0	0	0	0	0	0	0	0	0
MIR1258	0	0	0	0	0	0	0	0	0	0
RF00416	0	0	0	0	0	0	0	0	0	0
RF00560	0	0	0	0	0	2	2	0	0	0
CWC22	362	353	384	368	1058	882	592	723	563	666
AC012669.1	0	0	0	0	0	0	0	0	0	0
AC009478.1	0	0	0	0	0	0	0	0	0	0
SCHLAP1	0	0	0	0	0	0	0	0	0	0
AC104820.1	0	0	0	0	0	0	0	0	0	0
FTH1P20	26	28	10	9	4	2	10	10	10	12
AC104076.2	0	0	0	0	0	0	0	0	0	0
UBE2E3	454	397	540	491	689	761	476	424	467	474
AC104076.1	1	0	0	0	0	0	0	0	0	1
AC068196.1	0	0	0	0	0	0	0	1	0	0
LINC01934	0	0	0	0	3	0	2	1	0	0
MIR4437	0	0	0	0	0	0	0	0	0	0
AC020595.1	0	0	0	0	0	0	0	0	0	0
ITGA4	0	0	0	0	0	0	0	0	0	0
CERKL	1	2	0	0	2	1	0	2	0	0
NEUROD1	9	16	7	9	2	1	2	1	0	1
AC013733.2	0	0	0	0	0	0	0	0	0	0
AC013733.1	0	0	0	0	0	0	0	0	0	0
SAP18P2	0	0	0	0	0	0	0	0	0	0
RNU6ATAC19P	0	0	0	0	0	0	0	0	0	0
AC009962.1	2	0	2	1	3	4	11	8	1	1
ITPRID2	5842	6696	5988	5778	8374	6674	8100	7843	4753	6214
PPP1R1C	6	4	5	17	13	18	0	11	1	0
KRT18P29	1	1	1	1	1	2	1	0	0	0
RNA5SP113	0	0	0	0	0	0	0	0	0	0
PDE1A	0	0	0	0	0	1	0	2	0	0
RN7SL267P	0	0	0	0	0	0	0	0	0	0
DNAJC10	624	581	1069	932	2022	1557	1232	1038	1047	1121
RPL31P15	0	0	0	0	0	0	0	0	0	0
FRZB	20	25	5	12	8	7	7	5	5	15
RNU6-1122P	0	0	0	0	0	0	0	0	0	0
NCKAP1	3491	3629	4238	3739	4628	4531	4298	3687	3400	3244
KRT8P10	10	14	18	12	14	11	18	13	16	6
DUSP19	11	9	7	11	5	19	15	9	10	6
AC064871.1	0	0	0	0	0	0	0	0	0	0
NUP35	114	113	79	88	121	151	73	115	69	75
AC021851.1	1	2	0	0	2	7	2	1	1	2
LIN28AP1	0	0	0	0	0	0	0	0	0	0
CACYBPP2	1	1	1	1	5	7	3	3	1	5
AC093639.1	0	0	0	0	0	0	0	0	0	0
MIR548AE1	0	0	0	0	0	0	0	0	0	0
AC096667.1	0	0	0	0	0	0	0	0	5	0
ZNF804A	0	0	0	0	2	0	0	0	2	9
RPL23AP33	0	0	0	0	0	0	0	0	0	0
AC080125.1	0	0	0	0	0	0	0	0	0	0
AC007966.1	0	0	0	0	0	1	4	0	0	0
FSIP2	43	57	30	37	803	783	76	53	254	253
FSIP2-AS1	0	1	0	0	1	10	2	0	0	7
RPL21P32	0	0	0	0	0	2	0	1	0	0
LINC01473	8	9	12	15	13	8	22	11	10	19
AC104058.1	0	0	0	0	2	3	0	0	2	0
RPL23AP35	0	0	0	0	0	1	0	0	0	0
AC017071.1	1	0	0	6	9	1	5	4	1	7
MED28P3	9	5	6	3	25	20	25	7	5	8
ZC3H15	1112	1265	1179	1120	3142	3088	1358	1553	1256	1934
DPRXP1	0	0	0	0	0	0	0	0	0	0
ITGAV	2649	2981	3979	3230	10323	8498	6105	5793	4352	4990
AC017101.1	0	0	0	0	5	0	1	0	0	2
FAM171B	0	0	0	0	1	0	1	3	5	4
ZSWIM2	0	0	0	0	0	0	0	0	0	0
AC018735.1	0	0	0	0	0	0	0	0	0	0
AC007319.1	0	0	0	0	0	1	3	2	1	0
RN7SKP42	0	0	0	0	0	0	0	0	0	0
RNU6-989P	0	0	0	0	0	0	0	0	0	0
CALCRL	0	0	0	0	0	0	0	0	0	0
GAPDHP59	0	0	0	0	0	0	0	0	0	0
TFPI	116	126	379	405	1571	1716	1191	1231	841	1596
LINC01090	0	0	0	0	2	2	1	2	0	3
ST13P2	0	0	0	0	0	0	0	0	0	0
AC104131.1	0	0	0	0	0	0	0	0	0	0
RNA5SP114	0	0	0	0	0	1	0	0	0	0
GULP1	335	340	458	418	1097	1366	839	704	468	703
MIR561	0	0	0	0	7	0	2	0	0	1
AC092598.1	0	0	0	0	0	0	0	0	0	0
DIRC1	0	0	0	0	0	0	0	0	0	0
COL3A1	2	0	0	0	0	0	0	0	0	0
MIR1245A	0	0	0	0	0	0	0	0	0	0
MIR1245B	0	0	0	0	0	0	0	0	0	0
MIR3606	0	0	0	0	0	0	0	0	0	0
COL5A2	7	34	1	5	12	34	12	24	2	41
AC133106.1	0	0	0	0	0	0	0	0	0	0
MIR3129	0	0	0	0	0	0	0	0	0	0
KRT18P19	0	0	0	0	0	0	0	0	0	3
WDR75	310	313	271	240	696	536	418	403	334	400
AC013439.1	0	0	0	0	0	0	0	0	0	4
SLC40A1	13868	15210	8449	9277	14707	13884	15064	16005	12197	25307
AC012488.1	0	0	0	0	0	0	0	0	0	0
ASNSD1	444	431	310	294	1144	854	533	587	786	992
ANKAR	15	10	10	7	27	27	46	21	17	23
OSGEPL1	30	29	22	16	29	44	48	57	56	37
OSGEPL1-AS1	1	0	0	0	4	3	0	4	2	0
AC013468.1	0	0	3	0	0	0	0	0	0	0
ORMDL1	207	180	263	245	758	717	613	551	367	486
PMS1	73	75	59	65	170	165	76	35	73	49
C2orf88	29	210	35	98	275	796	96	181	133	459
AC019178.2	0	0	0	0	1	0	0	0	0	0
HNRNPCP2	37	26	35	30	43	36	32	48	42	50
AC019178.1	0	0	0	0	0	0	0	0	0	0
MSTN	0	0	0	0	0	2	0	2	1	1
HIBCH	289	398	472	501	521	709	332	320	494	737
INPP1	1331	1538	1497	1589	873	1017	753	764	968	773
MFSD6	1941	1835	1876	1751	883	814	1545	1171	1271	1069
AC093388.1	0	0	0	0	0	0	0	0	0	1
NEMP2	52	39	44	46	19	29	46	29	61	52
AC108047.1	5	7	0	9	2	5	5	9	9	11
RN7SKP179	0	0	0	0	0	0	0	0	0	0
AC006460.2	4	2	3	0	1	6	9	1	4	3
NAB1	1192	1046	1042	941	611	520	1135	1103	1220	1275
AC006460.1	0	0	0	0	0	2	0	0	0	0
AC005540.1	0	0	2	0	11	3	3	3	0	0
GLS	544	732	866	979	4062	5200	1212	1320	1485	2245
STAT1	1194	1350	1208	1211	805	1113	922	814	724	894
AC067945.1	0	0	0	0	0	0	0	0	0	0
AC067945.2	0	0	0	0	0	0	0	0	0	0
AC067945.3	0	0	0	0	2	0	0	0	0	4
STAT4	10	39	19	57	65	168	16	15	22	59
RNU6-959P	0	0	0	0	0	0	0	0	0	0
AC079777.1	0	0	1	0	0	4	0	0	0	0
HMGB1P27	0	0	0	0	0	1	0	0	0	0
AC092614.1	1	0	0	0	5	3	1	2	0	1
MYO1B	812	1102	949	979	1878	2668	861	842	797	1164
RNU6-1045P	0	0	0	0	2	0	0	0	0	0
NABP1	98	102	65	61	629	674	476	525	376	534
AC098872.1	0	0	0	0	0	0	0	0	0	0
CAVIN2	18	6	0	1	0	0	4	3	1	0
AC098617.1	0	0	0	0	0	0	0	0	0	0
DNAJB1P1	0	0	0	0	0	0	0	0	0	0
TMEFF2	0	0	0	0	0	0	0	0	0	0
AC062039.1	0	0	0	0	0	0	0	0	0	0
AC013401.1	0	0	0	0	0	0	0	0	0	0
PCGEM1	0	0	0	0	0	0	0	0	0	0
RPS17P8	0	0	0	0	0	0	0	0	0	0
RF01981	0	0	0	0	0	0	0	0	0	0
AC092638.1	0	0	0	0	0	0	0	0	0	0
AC092638.2	0	0	0	0	0	0	0	0	0	0
AC074290.1	0	0	0	0	0	0	0	0	0	0
AC068135.2	0	0	0	0	0	0	0	0	0	0
AC068135.1	0	0	0	0	0	0	0	0	0	0
GLULP6	0	0	0	0	0	0	0	0	0	0
HNRNPA1P47	0	0	0	0	0	0	0	0	0	0
LINC01821	0	0	0	0	0	0	0	0	0	0
AC106883.1	0	0	0	0	0	0	0	0	0	0
LINC01790	0	0	0	0	0	0	0	0	0	0
AC010983.1	0	0	0	0	0	0	0	0	0	0
AC104823.1	0	0	0	0	0	0	0	1	0	0
AC064834.1	0	0	0	0	0	0	0	0	0	0
RNU6-169P	0	0	0	0	0	0	0	0	0	0
LINC01825	0	0	0	0	0	0	0	0	0	0
LINC01827	0	0	0	0	0	0	0	0	0	1
SLC39A10	500	470	423	425	970	1009	433	513	389	450
AHCYP5	0	0	0	0	0	0	0	0	0	0
RNU6-915P	0	0	0	0	0	0	0	0	0	0
DNAH7	3	4	3	1	8	12	2	2	5	5
E2F3P2	0	0	0	0	2	0	0	0	0	0
AC114760.1	0	0	0	0	0	0	0	0	0	0
STK17B	744	666	869	838	731	613	648	638	459	634
AC114760.2	0	0	0	0	2	4	3	3	1	3
HECW2	0	0	0	0	2	0	2	1	0	1
AC020571.1	0	0	0	0	0	0	2	0	0	0
RN7SL820P	0	0	0	0	0	0	0	0	0	0
AC068544.1	0	0	0	0	0	0	0	0	2	0
CCDC150	4	6	4	6	4	9	15	8	6	8
GTF3C3	581	622	619	626	1121	1011	676	643	663	618
C2orf66	0	0	0	0	0	4	0	2	0	0
AC012486.1	0	0	0	0	0	0	0	0	0	0
PGAP1	733	731	529	520	222	245	415	399	417	360
ANKRD44	3	1	17	15	33	45	3	5	14	10
HNRNPA3P15	0	0	0	0	0	0	0	0	0	0
AC017035.1	0	0	0	0	0	0	0	0	0	0
AC013264.1	0	0	0	0	0	0	0	0	0	0
ANKRD44-IT1	0	0	0	0	0	0	0	0	0	0
ATP5MC2P3	0	0	0	0	0	0	0	0	0	0
AC010746.1	0	0	0	0	0	0	0	0	0	0
NPM1P46	1	1	2	1	0	0	4	7	0	2
SF3B1	5272	4816	5817	5388	9324	6816	11472	10474	8377	11121
RF00394	0	0	0	0	0	0	0	0	0	0
RNU6-1029P	0	0	0	0	0	0	0	0	0	0
COQ10B	1013	1045	1389	1112	2132	1635	1074	1116	1374	1627
HSPD1	5880	6032	6700	6516	3168	4429	4552	4872	3542	4947
HSPE1	397	358	511	560	1060	1326	380	441	281	388
HSPE1-MOB4	0	0	0	0	0	0	0	0	0	0
MOB4	314	267	365	312	894	717	534	439	509	541
AC020550.1	0	0	0	0	0	0	1	0	0	1
RFTN2	1	0	0	1	6	6	5	2	5	8
AC011997.1	0	0	0	0	0	0	0	0	0	0
MARS2	133	152	47	72	48	75	65	35	80	45
BOLL	0	0	0	0	0	0	0	0	0	0
PLCL1	0	0	0	0	0	7	0	1	2	0
AC020719.1	0	0	0	0	0	0	0	0	0	0
LINC01923	0	0	0	0	0	0	0	0	0	0
AC019330.1	2	0	1	0	1	2	4	1	0	0
AC020718.1	0	0	0	0	0	0	0	0	0	0
AC018717.1	0	0	0	0	0	0	0	0	0	0
RNU7-147P	0	0	0	0	0	0	0	0	0	0
SATB2	1073	1212	650	653	477	504	649	512	561	508
AC016746.1	0	1	0	0	2	1	0	0	0	0
SATB2-AS1	48	50	40	30	55	39	73	49	55	49
LINC01877	0	0	0	0	0	0	0	0	0	0
SEPHS1P6	0	0	0	0	0	0	0	0	0	0
FTCDNL1	2	0	1	8	3	2	1	1	0	1
AC097717.1	0	0	0	0	0	0	2	1	0	0
AC108032.1	0	0	0	0	0	0	0	0	0	0
RN7SL717P	0	0	0	0	0	0	0	0	0	0
C2orf69	211	218	199	217	115	218	231	210	143	191
TYW5	130	151	158	162	319	391	219	175	203	311
MAIP1	340	362	304	386	257	317	253	236	248	326
SPATS2L	3811	3775	3781	3922	2680	2576	5066	4310	4056	4770
RNY4P34	0	0	0	0	0	0	0	1	1	0
KCTD18	279	250	249	276	120	150	295	214	233	182
SGO2	245	210	298	267	178	253	255	223	133	114
AOX1	6	10	13	29	29	19	8	8	7	22
AOX3P	0	0	0	0	0	0	4	1	2	0
AOX3P-AOX2P	0	0	0	0	0	0	0	0	0	0
LINC01792	0	2	11	6	5	7	29	19	11	14
AOX2P	1	0	1	1	8	5	19	10	7	12
RNU1-133P	0	0	0	0	0	0	0	0	0	0
AC007163.1	0	0	0	2	0	3	0	0	5	0
BZW1	8246	7197	9247	8914	23551	19133	9033	10161	11771	15115
RNU6-31P	0	0	0	0	0	0	0	0	0	0
BICD1P1	0	0	0	0	0	0	0	0	0	0
RNA5SP115	0	0	0	0	0	0	0	0	0	0
CLK1	301	218	284	202	7261	4148	3844	4036	3042	4139
PPIL3	489	413	279	284	765	626	497	493	427	405
RNU6-312P	0	0	0	0	1	0	5	0	1	0
NIF3L1	427	389	399	411	867	667	466	505	481	551
RNU6-762P	0	0	0	0	2	2	1	0	1	2
ORC2	369	441	469	413	322	274	324	290	251	305
AC005037.1	0	0	0	0	0	0	0	0	0	1
FAM126B	910	999	1019	853	2365	1866	660	761	852	943
HNRNPA1P35	2	0	0	0	1	1	5	1	0	2
RPL23AP30	0	0	0	0	1	0	0	0	2	0
NDUFB3	736	742	984	765	3242	3067	572	740	816	1031
RNU6-1206P	0	0	0	0	0	0	0	0	0	0
AC007272.1	0	0	0	0	1	1	1	2	0	5
RPL17P10	0	0	0	0	0	0	0	0	0	0
CFLAR	1920	2459	2410	2249	5799	3808	2726	2668	2818	3029
IMPDH1P10	1	1	2	0	13	5	0	3	6	1
CFLAR-AS1	3	0	1	4	82	24	20	10	15	20
RNU7-45P	0	1	2	0	5	2	6	0	1	1
AC007283.2	0	0	1	0	5	3	3	0	0	0
AC007283.1	0	0	0	0	0	0	0	0	0	0
CASP10	1163	1005	694	735	798	660	731	762	647	675
MTND5P25	0	0	0	0	2	0	0	1	0	3
MTND4P23	0	0	0	1	2	3	0	0	0	2
MTND4LP13	0	0	0	0	1	0	0	0	0	0
CASP8	638	542	457	381	504	476	549	481	473	521
ALS2CR12	0	0	0	0	0	2	0	0	1	2
TRAK2	566	1065	489	622	665	1569	672	702	609	965
STRADB	473	946	407	585	475	1053	511	658	506	1067
AC007256.1	0	0	0	0	7	0	1	5	1	4
C2CD6	0	0	0	0	5	1	1	3	1	6
MTCO2P16	0	0	0	0	0	0	0	0	0	0
MTATP6P16	0	0	0	0	0	0	0	0	0	0
MTCO3P16	0	0	0	0	0	0	0	0	0	0
MTND3P16	0	0	0	0	0	0	0	0	0	0
MTND4LP16	0	0	0	0	0	0	0	0	0	0
MTND4P29	0	0	0	0	0	0	0	0	0	0
MTND5P31	0	0	0	0	0	0	0	0	0	0
TMEM237	25	31	29	44	40	62	27	22	21	39
ENO1P4	0	0	0	0	0	0	0	0	0	0
MPP4	0	0	0	0	1	0	0	0	0	0
RNU6-651P	0	0	0	0	0	0	0	0	0	0
ALS2	188	220	272	299	369	397	317	344	292	385
AC007279.1	0	0	0	0	0	1	0	3	1	0
CDK15	0	0	0	0	0	1	0	0	0	0
UBE2V1P11	0	0	0	0	0	0	0	0	0	0
RNU6-440P	0	0	0	0	0	0	0	0	0	0
AC069148.1	0	3	0	0	1	1	3	0	2	3
FZD7	148	138	144	175	82	127	267	194	172	244
KIAA2012	3	0	0	0	0	0	2	0	2	0
AC079354.1	0	0	0	0	0	0	0	0	0	1
AC079354.3	0	0	0	0	0	0	0	0	0	0
PSMA2P3	0	0	0	0	0	0	0	0	0	0
DAZAP2P1	1	0	1	0	2	0	0	1	1	0
SUMO1	1531	1469	1834	1755	3394	2516	1885	1908	2034	2411
AC079354.2	0	0	0	0	0	0	0	0	0	0
NOP58	437	481	365	373	564	719	526	536	507	599
SNORD70	0	0	0	0	0	3	0	0	0	0
RF00575	0	0	0	0	0	0	0	0	0	0
SNORD11B	0	0	0	0	1	0	0	0	0	0
SNORD11	1	1	0	0	0	0	0	0	2	0
RN7SL753P	0	0	0	0	0	0	0	0	0	0
AC064836.1	0	0	0	0	1	2	0	0	0	0
AC064836.2	0	0	0	0	0	0	0	0	0	0
RN7SL40P	0	0	0	0	0	0	0	0	0	1
AC064836.3	1	9	7	4	7	15	14	13	8	17
BMPR2	1225	1151	1045	1048	803	882	1537	1251	806	888
AC073410.2	0	0	0	0	0	0	0	0	0	2
AC073410.1	5	1	6	2	2	0	8	2	4	2
MTCO1P17	0	0	0	0	0	0	0	0	0	0
MTCO2P17	0	0	0	0	0	0	0	0	0	0
MTATP6P17	0	0	0	0	0	0	0	0	0	0
MTCO3P17	0	0	0	0	0	0	0	0	0	0
MTND3P17	0	0	0	0	0	0	0	0	0	0
MTND4LP17	0	0	0	0	0	0	0	0	0	0
MTND4P30	0	0	0	0	0	0	0	0	0	0
MTCO1P54	0	0	0	0	0	0	0	0	0	0
FAM117B	517	620	743	748	156	202	384	329	311	447
ICA1L	4	4	5	3	7	13	11	5	7	14
AC098831.1	0	0	0	0	0	0	0	0	0	0
KRT8P15	0	0	0	0	0	0	0	0	0	0
WDR12	404	502	247	342	290	675	276	302	277	468
CARF	38	42	49	50	82	91	91	89	52	74
AC010900.1	0	0	0	0	0	0	1	0	0	0
AC010900.2	0	0	0	0	0	0	0	0	0	0
NBEAL1	616	731	750	706	769	731	644	538	512	542
RPL7P14	0	0	1	0	0	2	0	0	0	0
RF00408	0	0	0	0	1	0	0	0	0	0
AC023271.1	0	0	0	0	4	0	0	0	0	0
RPL23AP36	0	0	0	0	0	1	0	0	0	0
RPL12P16	0	0	0	0	0	0	0	0	0	0
CYP20A1	92	79	66	65	149	109	103	117	120	160
RN7SL670P	0	0	0	0	0	0	0	0	0	0
MRPL50P2	0	0	0	0	0	0	0	0	0	0
ABI2	168	186	231	243	84	114	204	162	107	73
AC080075.1	0	0	0	0	1	0	0	0	0	1
RAPH1	399	370	250	253	215	139	284	223	198	159
AC125238.2	0	0	0	0	0	0	0	0	0	0
AC125238.1	0	0	0	0	0	0	0	0	0	0
CD28	0	0	0	0	0	0	0	0	0	0
KRT18P39	1	0	0	0	0	0	1	0	0	0
NPM1P33	0	0	0	0	0	0	0	0	0	0
RNU6-474P	0	0	0	0	0	0	0	0	0	0
CTLA4	0	0	0	0	0	0	0	0	0	0
ICOS	0	0	0	0	0	0	0	0	0	0
AC009965.2	0	0	0	0	0	0	0	0	0	0
AC009965.1	0	0	0	0	0	0	0	0	0	0
AC009498.1	0	0	0	0	0	0	0	0	0	0
DSTNP5	0	0	0	0	0	0	0	0	0	0
AC106901.1	0	0	0	0	0	0	0	0	0	0
AC016903.1	0	0	0	0	0	0	0	0	0	0
AC016903.2	0	0	0	0	0	0	0	0	0	0
PARD3B	207	222	404	363	319	241	300	278	278	348
AC008171.1	0	0	0	0	0	0	0	0	0	0
NRP2	1805	1437	2764	2268	700	731	662	492	614	313
AC007362.1	0	0	0	2	0	0	0	0	2	0
RN7SKP178	0	0	0	0	0	0	0	0	0	0
PPIAP68	0	0	0	0	0	0	0	0	0	0
AC007679.1	0	0	0	0	0	0	0	0	0	0
INO80D	567	472	442	434	550	559	661	663	494	619
RF00006	0	0	0	0	0	0	0	0	0	0
AC007679.2	0	1	0	0	3	3	0	0	2	2
AC007383.2	24	33	38	26	42	57	78	61	83	65
NDUFS1	3117	2990	3493	3342	2748	2673	3509	3614	3415	4032
AC007383.3	0	0	0	0	0	0	0	0	0	0
GCSHP3	0	0	0	0	0	0	0	0	0	0
EEF1B2	5492	6043	6637	6814	7070	8731	6741	7883	6817	8871
RF00134	0	0	0	0	1	1	0	0	0	0
SNORD51	0	0	0	0	0	0	0	0	0	0
SNORA41	0	0	0	0	0	0	0	0	0	0
GPR1	0	0	0	0	0	0	0	1	0	0
GPR1-AS	0	0	0	0	0	0	0	0	0	0
RN7SKP200	0	0	0	0	0	0	0	0	0	0
AC007383.1	0	0	0	0	0	0	0	1	0	0
HMGN1P6	0	0	0	0	0	0	0	0	0	0
RN7SKP260	0	0	0	0	0	0	0	0	0	0
ZDBF2	49	32	69	75	87	70	103	74	78	77
AC017081.1	0	1	0	0	0	0	1	0	0	0
HNRNPA1P51	0	0	0	0	0	0	0	0	0	0
ADAM23	0	0	0	0	0	0	1	0	0	0
AC010731.2	0	0	0	0	0	0	0	0	0	0
AC010731.3	0	0	0	0	0	0	0	0	0	0
FAM237A	0	0	0	0	0	0	0	0	0	0
DYTN	0	0	0	0	0	0	0	0	0	0
AC010731.1	0	0	0	0	0	0	0	0	0	0
MDH1B	0	0	1	2	0	0	0	0	2	1
FASTKD2	340	416	296	308	761	1057	298	356	302	440
MIR3130-1	0	0	0	0	0	0	0	0	0	0
MIR3130-2	0	0	0	0	0	0	0	0	0	0
AC008269.2	0	0	0	0	0	0	0	0	0	0
AC008269.1	0	0	0	0	0	0	0	0	0	0
CPO	0	0	0	0	1	24	0	0	0	0
KLF7	735	528	961	633	381	325	719	570	398	405
MIR2355	0	0	0	0	2	0	0	0	0	0
KLF7-IT1	0	3	0	7	8	0	4	5	10	3
MIR7845	0	0	0	0	2	1	0	0	0	0
AC007879.1	0	0	0	0	0	0	0	1	0	0
AC007879.3	0	0	3	6	3	5	6	0	2	4
AC007879.2	0	0	2	0	0	0	0	0	0	0
AC007879.4	0	0	0	0	0	1	1	1	0	4
MYOSLID	1	2	0	0	2	5	0	1	1	0
AC009226.1	7	4	5	3	2	6	7	4	8	7
LINC01802	0	0	0	0	0	0	0	0	0	0
MIR1302-4	0	0	0	0	0	0	0	0	0	0
CREB1	971	1002	961	865	720	578	956	817	672	835
METTL21A	136	163	136	205	215	191	113	148	110	123
RPS29P9	0	0	0	0	0	0	0	0	0	0
LINC01857	0	0	0	0	0	0	0	0	0	0
RNU6-664P	0	0	0	0	0	0	0	0	0	0
PPP1R14BP2	0	0	0	0	0	0	0	0	0	0
CCNYL1	694	693	521	518	649	742	669	591	738	710
AC096772.1	0	0	0	0	0	0	0	0	0	0
MIR4775	0	0	0	0	0	0	0	0	0	0
FZD5	2892	2821	2835	2970	1352	1356	2250	2051	1927	2070
PLEKHM3	98	97	217	158	93	103	214	116	130	129
AC083900.1	1	1	0	3	41	40	3	3	2	7
RNU6-360P	0	0	0	0	0	0	0	0	0	0
AC093698.1	0	0	0	0	0	0	0	0	0	0
RNA5SP116	0	0	0	0	0	0	0	0	0	0
RPL12P17	0	1	2	0	0	0	1	0	1	0
CRYGEP	0	0	0	0	0	0	0	0	0	0
CRYGD	0	0	0	0	0	0	0	0	0	0
CRYGC	0	0	0	0	0	0	0	0	0	1
AC093698.2	0	0	0	0	0	0	0	0	0	0
CRYGB	0	0	0	0	0	0	0	0	0	0
CRYGA	0	0	0	0	0	0	0	0	0	0
C2orf80	0	0	0	0	0	0	0	0	0	0
RPSAP27	0	0	0	0	0	0	0	0	0	0
TPT1P2	0	0	0	0	0	0	0	0	0	0
IDH1	4253	7028	6267	6802	5728	6889	6534	7013	8214	13467
IDH1-AS1	16	11	15	15	15	16	11	9	19	17
PIKFYVE	410	451	546	547	242	365	402	350	352	430
MYL6BP1	0	0	0	0	0	2	0	0	0	0
PTH2R	0	0	0	0	0	1	0	0	1	0
