,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,,,
46,hsa05164,Influenza A,125,-0.343977326,-1.522960921,0.006993007,0.043018646,0.0310643,3500,tags=40%, list=27%, signal=29%,PRKCA/TNFRSF10A/NXT1/CPSF4L/PRSS3/AKT2/IFNAR1/HNRNPUL1/IRF7/BCL2L2-PABPN1/ACTG1/MYD88/JAK1/CXCL8/PIK3R3/CREBBP/KPNA6/AKT1/APAF1/RAF1/IL1B/NXF1/RAE1/CASP8/RAB11B/MAP2K1/TMPRSS2/IFIH1/TYK2/CDK6/NFKBIB/PIK3CA/IKBKG/TNFRSF10B/TMPRSS4/NFKB1/RAB11A/BAX/CCND3/NLRX1/IKBKB/TICAM1/EP300/BID/NFKBIA/IFNGR2/RELA/IL33/PRSS2/PRSS1,
45,hsa05167,Kaposi sarcoma-associated herpesvirus infection,142,-0.33865664,-1.523810815,0.007194245,0.043018646,0.0310643,2431,tags=32%, list=19%, signal=26%,CXCL8/PIK3R3/CREBBP/TRAF2/AKT1/MAP1LC3B/RAF1/UBC/CASP8/MAP2K1/TYK2/SRC/CDK6/PIK3CA/IKBKG/ITPR3/NFKB1/CXCL1/CXCL3/CDKN1A/BAX/IKBKB/GSK3B/HLA-B/TICAM1/MAP2K7/LYN/GNB2/TCF7L2/PPP3R1/EP300/VEGFA/GNG2/STAT3/BID/NFKBIA/RCAN1/NFATC4/RELA/FGF2/NFATC1/KRAS/PLCG2/GNB5/HLA-E,
50,hsa05205,Proteoglycans in cancer,151,-0.33642093,-1.524063072,0.007633588,0.044732824,0.032302129,2534,tags=31%, list=20%, signal=25%,ARAF/PPP1R12B/PLAU/PIK3R3/CAMK2G/ROCK1/ITGB1/RHOA/AKT1/RAF1/ELK1/WNT4/MAP2K1/MET/FZD6/RRAS/DROSHA/SRC/PIK3CA/ITPR3/CD44/TIAM1/CDKN1A/PPP1R12A/CD63/GRB2/TGFB1/FLNB/VEGFA/FLNC/BRAF/STAT3/HPSE/IQGAP1/MDM2/HSPG2/FGF2/PLAUR/CBL/KRAS/PLCG2/VAV1/CAV2/CAV1/GPC1/WNT7B/FLNA,
61,hsa04659,Th17 cell differentiation,68,-0.382767486,-1.52652243,0.01179941,0.056675855,0.04092634,2947,tags=40%, list=23%, signal=31%,SMAD4/JUN/IL1R1/JAK1/IL4R/NFKBIE/TGFBR1/IL1B/STAT6/TYK2/NFKBIB/IKBKG/NFKB1/IL1RAP/IKBKB/PPP3R1/TGFB1/STAT3/RORA/NFKBIA/SMAD3/IFNGR2/RELA/STAT5A/NFATC1/STAT5B/JAK3,
32,hsa05166,Human T-cell leukemia virus 1 infection,186,-0.332271375,-1.534217455,0.003875969,0.035489341,0.025627295,2345,tags=28%, list=18%, signal=23%,PIK3R3/CREBBP/CRTC1/AKT1/ANAPC2/XIAP/CRTC2/ELK1/TGFBR1/DLG1/ADCY7/ANAPC11/PTEN/CREB3L4/MAP2K1/FOSL1/BCL2L1/CDC23/TCF3/PIK3CA/IKBKG/NFKB1/CDKN1A/RELB/BAX/CCND3/VDAC2/IKBKB/HLA-B/MSX2/TSPO/CDKN2B/PPP3R1/TGFB1/EP300/CRTC3/MAP3K3/ATM/SLC2A1/CREB3L1/NFKBIA/TRRAP/SMAD3/NFATC4/RELA/STAT5A/NFATC1/KRAS/NFKB2/STAT5B/JAK3/HLA-E,
56,hsa05162,Measles,103,-0.366485817,-1.572526844,0.00952381,0.049829932,0.035982814,3281,tags=41%, list=26%, signal=31%,MSN/AKT2/IFNAR1/IRF7/MYD88/JUN/JAK1/CSNK2A2/TAB2/BAD/PIK3R3/AKT1/APAF1/EIF2AK3/CSNK2A1/IL1B/CASP8/IFIH1/TYK2/BCL2L1/RAB9A/CDKN1B/CDK6/NFKBIB/PIK3CA/IKBKG/NFKB1/CBLB/BAX/CCND3/IKBKB/GSK3B/TNFAIP3/BBC3/STAT3/BID/NFKBIA/RELA/STAT5A/HSPA2/STAT5B/JAK3,
54,hsa01521,EGFR tyrosine kinase inhibitor resistance,66,-0.396713704,-1.573637001,0.00862069,0.046775223,0.033776971,2854,tags=41%, list=22%, signal=32%,PRKCG/JAK1/ARAF/BAD/PIK3R3/AKT1/RAF1/SHC2/PTEN/MAP2K1/MET/BCL2L1/SRC/TGFA/PIK3CA/BAX/GAS6/GSK3B/GRB2/VEGFA/BRAF/FOXO3/STAT3/NF1/FGF2/KRAS/PLCG2,
44,hsa04660,T cell receptor signaling pathway,73,-0.39327643,-1.590020636,0.005882353,0.043018646,0.0310643,2433,tags=36%, list=19%, signal=29%,NFKBIE/PIK3R3/RHOA/AKT1/RAF1/DLG1/MAP2K1/NFKBIB/MAP3K8/PIK3CA/IKBKG/NCK1/NFKB1/BCL10/CBLB/IKBKB/GSK3B/MAP2K7/GRB2/PPP3R1/CARD11/NFKBIA/RELA/NFATC1/KRAS/VAV1,
64,hsa05218,Melanoma,49,-0.430414248,-1.607839694,0.013477089,0.061699798,0.044554192,2534,tags=37%, list=20%, signal=30%,ARAF/BAD/PIK3R3/AKT1/RAF1/GADD45B/PTEN/MAP2K1/MET/CDK6/PIK3CA/CDKN1A/BAX/BRAF/MDM2/DDB2/FGF2/KRAS,
43,hsa04625,C-type lectin receptor signaling pathway,74,-0.401228082,-1.611795767,0.006042296,0.043018646,0.0310643,2422,tags=38%, list=19%, signal=31%,BCL3/PIK3R3/RHOA/AKT1/RAF1/IL1B/CASP8/RRAS/SRC/PIK3CA/IKBKG/CYLD/ITPR3/NFKB1/BCL10/CBLB/RELB/IKBKB/PPP3R1/NFKBIA/MDM2/NFATC4/RELA/NFATC1/KRAS/NFKB2/PLCG2/PLK3,
42,hsa04115,p53 signaling pathway,68,-0.4090171,-1.631209027,0.005899705,0.043018646,0.0310643,2192,tags=37%, list=17%, signal=31%,APAF1/GADD45B/PTEN/CASP8/BCL2L1/SHISA5/CCNG2/CDK6/CCNG1/TNFRSF10B/CDKN1A/BAX/CCND3/CD82/TSC2/ATM/BBC3/BID/RRM2B/SESN1/MDM2/DDB2/PIDD1/SERPINB5/ZMAT3,
41,hsa05211,Renal cell carcinoma,62,-0.427337304,-1.670105737,0.005681818,0.043018646,0.0310643,3332,tags=44%, list=26%, signal=32%,PRCC/RBX1/AKT2/ELOB/RAC1/JUN/BUB1B-PAK6/ARAF/BAD/PIK3R3/CREBBP/AKT1/RAF1/MAP2K1/MET/TGFA/PIK3CA/CDKN1A/ARNT/GRB2/TGFB1/EP300/VEGFA/EGLN3/BRAF/SLC2A1/KRAS,
40,hsa03040,Spliceosome,130,-0.376747545,-1.677337825,0.007142857,0.043018646,0.0310643,4549,tags=47%, list=35%, signal=31%,SNRPD2/SNRPA/SNRPB2/AQR/SNRPA1/PRPF40B/USP39/PRPF18/SF3B6/DHX15/DDX46/TXNL4A/SF3A2/LSM8/CDC5L/CDC40/HSPA1A/SNRPB/TCERG1/EIF4A3/SF3B3/THOC3/RBMX/TRA2A/BCAS2/DDX39B/DHX8/SNW1/SYF2/SNRNP27/SART1/SRSF4/SF3B1/CCDC12/SF3B2/DHX16/WBP11/DDX23/SRSF9/U2AF2/LSM4/SF3A1/PRPF38A/RBM8A/SMNDC1/PRPF8/ZMAT2/HNRNPC/ACIN1/XAB2/SNU13/PRPF3/PRPF6/RBM22/U2AF1L4/DDX42/PRPF4/CHERP/ISY1/SNRNP200/HSPA2,
39,hsa05223,Non-small cell lung cancer,64,-0.427680704,-1.682788276,0.005698006,0.043018646,0.0310643,2534,tags=39%, list=20%, signal=31%,ARAF/BAD/PIK3R3/STK4/AKT1/RAF1/GADD45B/MAP2K1/MET/CDK6/TGFA/PIK3CA/CDKN1A/BAX/GRB2/BRAF/FOXO3/STAT3/RASSF5/DDB2/STAT5A/KRAS/PLCG2/STAT5B/JAK3,
38,hsa05161,Hepatitis B,133,-0.381720166,-1.700158545,0.007117438,0.043018646,0.0310643,2962,tags=39%, list=23%, signal=30%,MYD88/SMAD4/JUN/PRKCG/JAK1/CREB3/ARAF/TAB2/CXCL8/BAD/PIK3R3/CREBBP/AKT1/APAF1/TAB1/DDB1/RAF1/ELK1/TGFBR1/STAT6/CREB3L4/CASP8/MAP2K1/IFIH1/TYK2/SRC/PIK3CA/IKBKG/NFKB1/CDKN1A/BAX/IKBKB/TICAM1/MAP2K7/GRB2/TGFB1/EP300/BRAF/STAT3/BID/CREB3L1/NFKBIA/SMAD3/NFATC4/RELA/HSPG2/DDB2/STAT5A/NFATC1/KRAS/STAT5B/JAK3,
28,hsa04064,NF-kappa B signaling pathway,80,-0.4281797,-1.747480483,0.003030303,0.031280026,0.022587696,3010,tags=46%, list=23%, signal=36%,CFLAR/MYD88/IL1R1/CSNK2A2/TAB2/CXCL8/PLAU/ERC1/TRAF2/TAB1/XIAP/GADD45B/CSNK2A1/IL1B/UBE2I/TRAF5/BCL2L1/TNFRSF11A/IKBKG/CYLD/NFKB1/CXCL1/BCL10/CXCL3/RELB/IKBKB/TICAM1/LYN/EDA2R/CARD11/TNFAIP3/ATM/NFKBIA/RELA/PIDD1/NFKB2/PLCG2,
31,hsa05203,Viral carcinogenesis,149,-0.41476298,-1.869916731,0.003745318,0.035399299,0.025562275,3100,tags=39%, list=24%, signal=30%,YWHAE/IRF7/RAC1/JUN/SNW1/JAK1/GTF2B/CREB3/GTF2A1/HDAC3/UBE3A/BAD/YWHAG/RBPJ/PIK3R3/CREBBP/TRAF2/RHOA/DDB1/DLG1/CREB3L4/CASP8/HDAC9/TRAF5/ACTN4/RBL2/CDKN1B/SRC/CDK6/PIK3CA/IKBKG/NFKB1/CDKN1A/BAX/SCRIB/CCND3/HLA-B/CDKN2B/GRB2/LYN/RBL1/EP300/STAT3/ACTN1/CREB3L1/GSN/HDAC5/UBR4/NFKBIA/MDM2/RELA/HDAC7/STAT5A/KRAS/NFKB2/STAT5B/JAK3/HLA-E,
26,hsa05212,Pancreatic cancer,70,-0.477499822,-1.89916313,0.002994012,0.031280026,0.022587696,2964,tags=46%, list=23%, signal=35%,RAC1/RALA/SMAD4/JAK1/ARAF/BAD/PIK3R3/AKT1/RAF1/GADD45B/TGFBR1/MAP2K1/PLD2/BCL2L1/CDK6/TGFA/PIK3CA/IKBKG/NFKB1/CDKN1A/BAX/IKBKB/TGFB1/RALBP1/VEGFA/RAC2/BRAF/STAT3/SMAD3/RELA/DDB2/KRAS,
25,hsa05220,Chronic myeloid leukemia,71,-0.504132892,-2.019323687,0.002967359,0.031280026,0.022587696,2534,tags=44%, list=20%, signal=35%,ARAF/BAD/PIK3R3/AKT1/RAF1/GADD45B/TGFBR1/SHC2/MAP2K1/BCL2L1/CDKN1B/CDK6/PIK3CA/IKBKG/NFKB1/CDKN1A/BAX/IKBKB/GRB2/TGFB1/MECOM/BRAF/NFKBIA/SMAD3/MDM2/RELA/DDB2/STAT5A/CBL/KRAS/STAT5B,
24,hsa04662,B cell receptor signaling pathway,58,-0.524127428,-2.022353123,0.002770083,0.031280026,0.022587696,2964,tags=52%, list=23%, signal=40%,RAC1/JUN/INPPL1/CD72/NFKBIE/PIK3R3/AKT1/RAF1/MAP2K1/NFKBIB/PIK3CA/IKBKG/DAPP1/NFKB1/BCL10/IKBKB/GSK3B/INPP5D/GRB2/LYN/PPP3R1/RAC2/CARD11/CD81/NFKBIA/RELA/NFATC1/KRAS/PLCG2/VAV1,
