,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
mmu05022,mmu05022,Pathways of neurodegeneration - multiple diseases,384,-0.33081971,-1.627059339,0.001615509,0.009398255,0.005638615,2544,"tags=32%, list=20%, signal=27%",Fzd4/Ndufa12/Gsk3b/Mtor/Ndufa9/Atp2a3/Rab1a/Ndufs8/Sptbn2/Casp12/Ndufa2/Fzd7/Ndufa10/Smcr8/Ndufs6/App/Uba1y/Lrp6/Map2k6/Ndufa8/Prkn/Chrm3/Atp5b/Dctn3/Ndufv1/Ndufa5/Ndufs5/Tnfrsf1a/Ndufv3/Rab8a/Ubb/Uqcrc2/Atp5a1/Sdhd/Ndufb7/Atg2a/Atp5d/Ndufs2/Fzd8/Ndufa11/Ndufb4/Cyc1/COX3/Atp5g3/Atp5g1/Map2k1/Ubc/Rac1/Camk2d/Ndufb8/Atp5c1/Map1lc3b/Sod1/Uqcr11/Ndufb5/Atp5j/Cox6c/Ndufb6/Cox5b/Tubal3/Ndufb9/Uqcr10/Sdha/Snca/Ndufv2/Ndufc2/Atp5e/Cox7b/Ndufa13/Optn/Slc25a5/Atp5h/Mapk13/Cox7a2l/Calm1/Tubb2a/Atp5o/Cycs/Casp9/Cacna1b/Calm2/Ern1/Cox7c/Psen1/Ndufs7/Mfn2/Cox4i1/Vdac3/Fzd5/Ndufa6/Grin2a/Cox5a/Ndufc1/Uqcrq/Cox8a/Klc4/Ndufb10/Sqstm1/Calml4/Mapk3/Sdhc/Cox7a2/Uqcrfs1/Frat2/Uqcrh/Ndufa1/Cat/Dnah2/Frat1/Ppif/Prnp/Cox6a1/Calm3/Uqcrb/Map1lc3a/Ddit3/Casp7/Pink1/Sdhb/Uba7/Cox7a1/Ube2l6/Fas/Ryr2
mmu00062,mmu00062,Fatty acid elongation,23,-0.553738792,-1.644898803,0.017716535,0.050397523,0.030236703,3344,"tags=57%, list=27%, signal=42%",Acot7/Tecr/Elovl5/Ppt2/Echs1/Acaa2/Hadha/Ppt1/Acot2/Hadhb/Elovl1/Hadh/Acot4
mmu05171,mmu05171,Coronavirus disease - COVID-19,165,-0.369497583,-1.647628545,0.001763668,0.009398255,0.005638615,1111,"tags=11%, list=9%, signal=10%",Casp1/Mavs/Mapk3/Oas3/Stat2/Ace/Ddx58/Stat1/Tlr2/Ifih1/C9/Irf9/Ace2/Oas2/Cfb/Oas1a/Isg15/Oas1g
mmu00380,mmu00380,Tryptophan metabolism,27,-0.533311641,-1.654038165,0.019723866,0.054010212,0.032404187,3353,"tags=74%, list=27%, signal=54%",Kyat3/Dlst/Dld/Kynu/Afmid/Aldh7a1/Kyat1/Aldh2/Echs1/Maob/Hadha/Aldh3a2/Cyp1a1/Tph1/Cat/Hadh/Maoa/Aldh1b1/Ehhadh/Aoc1
mmu05010,mmu05010,Alzheimer disease,323,-0.344997768,-1.665338876,0.001618123,0.009398255,0.005638615,2545,"tags=36%, list=20%, signal=29%",Bace2/Fzd4/Ndufa12/Gsk3b/Mtor/Ndufa9/Atp2a3/Gapdh/Ndufs8/Casp12/Ndufa2/Fzd7/Ndufa10/Lpl/Ndufs6/App/Lrp6/Ndufa8/Pik3cd/Chrm3/Atp5b/Ndufv1/Ndufa5/Ndufs5/Tnfrsf1a/Ndufv3/Uqcrc2/Atp5a1/Sdhd/Ndufb7/Atg2a/Atp5d/Ndufs2/Fzd8/Ndufa11/Ndufb4/Cyc1/COX3/Atp5g3/Chuk/Rtn3/Atp5g1/Psenen/Map2k1/Insr/Ndufb8/Atp5c1/Uqcr11/Ndufb5/Atp5j/Cox6c/Ndufb6/Cox5b/Tubal3/Ndufb9/Uqcr10/Sdha/Snca/Ndufv2/Ndufc2/Atp5e/Cox7b/Ndufa13/Irs2/Slc25a5/Atp5h/Cox7a2l/Calm1/Tubb2a/Atp5o/Cycs/Casp9/Calm2/Ern1/Cox7c/Psen1/Ndufs7/Ncstn/Cox4i1/Vdac3/Mme/Fzd5/Ndufa6/Grin2a/Cox5a/Ndufc1/Uqcrq/Cox8a/Klc4/Ndufb10/Aph1a/Slc11a2/Calml4/Mapk3/Sdhc/Cox7a2/Uqcrfs1/Frat2/Uqcrh/Ndufa1/Frat1/Ppif/Cox6a1/Slc39a9/Calm3/Slc39a14/Uqcrb/Ddit3/Aph1b/Casp7/Slc39a4/Sdhb/Cox7a1/Fas/Slc39a5
mmu00590,mmu00590,Arachidonic acid metabolism,43,-0.477811945,-1.670323332,0.00754717,0.024570231,0.014741256,1003,"tags=30%, list=8%, signal=28%",Pla2g4f/Cyp2c68/Alox12b/Pla2g12b/Cyp2j6/Cyp2b10/Pla2g4c/Cyp2c55/Cyp2c66/Ephx2/Cyp2c29/Ggt1/Cyp2c65
mmu05152,mmu05152,Tuberculosis,114,-0.397487154,-1.674673994,0.001776199,0.009398255,0.005638615,2422,"tags=33%, list=19%, signal=27%",Atp6v0c/Cebpb/Il10rb/Src/Cebpg/Tnfrsf1a/H2-DMa/Rfxank/Rab5c/Atp6ap1/Itgb2l/Camk2d/Ifngr2/Irak2/Mapk13/Calm1/Tradd/Ksr1/Cycs/Casp9/Calm2/Lamp2/Lamp1/Atp6v0b/Calml4/Mapk3/Plk3/Atp6v0d1/Ifngr1/Ctsd/Sphk2/Calm3/Atp6v0a2/Stat1/Vdr/Tlr2/Tlr1/Ctss
mmu04723,mmu04723,Retrograde endocannabinoid signaling,92,-0.410059318,-1.675962744,0.005464481,0.019766579,0.011859237,3640,"tags=58%, list=29%, signal=41%",Prkca/ND3/Ndufs1/Daglb/Mapk1/Ndufa7/Ndufb11/Gnai3/Gng4/Plcb3/Itpr2/Ndufb3/Ndufs4/Gnb5/Ndufa12/Ndufa9/Ndufs8/Ndufa2/Ndufa10/Ndufs6/Ndufa8/Gnai2/Gngt2/Ndufv1/Ndufa5/Ndufs5/Prkaca/Ndufv3/Ndufb7/Gnb1/Ndufs2/Ndufa11/Ndufb4/Gng5/Ndufb8/Gng12/Ndufb5/Ndufb6/Ndufb9/Ndufv2/Ndufc2/Ndufa13/Mapk13/Cacna1b/Ndufs7/Ndufa6/Ndufc1/Ndufb10/Mapk3/Ndufa1/Gnao1/Slc17a8/Abhd6
mmu04217,mmu04217,Necroptosis,100,-0.404605256,-1.676192587,0.003584229,0.014191611,0.008514457,1666,"tags=29%, list=13%, signal=25%",Camk2d/Chmp2a/Tlr3/Chmp1b/Birc3/Ifngr2/Tnfaip3/Slc25a5/Ftl1/Tradd/Chmp3/Rnf31/Casp1/Vdac3/Pla2g4f/Sqstm1/Chmp5/Ifngr1/Smpd1/Zbp1/Stat2/Spata2/Ticam1/Stat1/Pla2g4c/Fas/Fth1/Irf9/Pycard
mmu05133,mmu05133,Pertussis,51,-0.462196459,-1.683236209,0.007462687,0.02456817,0.01474002,1305,"tags=27%, list=10%, signal=25%",Mapk13/Calm1/Calm2/Casp1/Ly96/Irf1/Calml4/Mapk3/Calm3/Ticam1/Casp7/C4bp/Irf8/Pycard
mmu01250,mmu01250,Biosynthesis of nucleotide sugars,32,-0.519144002,-1.685016707,0.011741683,0.035836595,0.021500669,2779,"tags=47%, list=22%, signal=37%",Pgm3/Uap1/Hk1/Gpi1/Ugp2/Gmppb/Hk2/Mpi/Gale/Pgm2/Nagk/Pgm1/Gfpt1/Ugdh/Hkdc1
mmu04750,mmu04750,Inflammatory mediator regulation of TRP channels,75,-0.432779227,-1.708577984,0.001824818,0.009398255,0.005638615,3034,"tags=41%, list=24%, signal=32%",Plcb3/Prkcd/Itpr2/Cyp2c70/Pik3r3/Cyp2j9/Map2k6/Src/Pik3cd/Cyp2c23/Prkaca/Prkch/Ppp1cb/Camk2d/F2rl1/Mapk13/Calm1/Calm2/Pla2g4f/Calml4/Cyp2c68/Ptger4/Calm3/Cyp2j6/Prkce/Trpv3/Pla2g4c/Cyp2c55/Cyp2c66/Cyp2c29/Cyp2c65
mmu04973,mmu04973,Carbohydrate digestion and absorption,28,-0.547950101,-1.709900113,0.011928429,0.036031235,0.021617447,3034,"tags=46%, list=24%, signal=35%",Plcb3/Sis/Pik3r3/G6pc/Hk1/Pik3cd/Hk2/Mgam/Slc2a5/Atp1b1/Atp1a1/Hkdc1/Slc5a1
mmu04622,mmu04622,RIG-I-like receptor signaling pathway,45,-0.485900045,-1.715437829,0.005703422,0.020133767,0.012079537,2193,"tags=31%, list=17%, signal=26%",Cxcl10/Nfkbia/Atg5/Chuk/Mapk13/Tradd/Trim25/Mavs/Nlrx1/Ddx58/Ifih1/Dhx58/Isg15/Irf7
mmu00512,mmu00512,Mucin type O-glycan biosynthesis,21,-0.584744319,-1.716120938,0.015655577,0.045416675,0.027248373,3272,"tags=76%, list=26%, signal=56%",C1galt1/B3gnt6/Galnt12/Galnt11/Galnt2/C1galt1c1/Gcnt1/Gcnt4/B3gnt3/Galnt7/Galnt10/B4galt5/St6galnac4/St3gal1/Galnt4/Gcnt3
mmu00500,mmu00500,Starch and sucrose metabolism,25,-0.56576016,-1.718729295,0.01171875,0.035836595,0.021500669,2840,"tags=56%, list=23%, signal=43%",Sis/Gbe1/G6pc/Gaa/Hk1/Gpi1/Ugp2/Hk2/Ganc/Mgam/Pgm2/Pgm1/Treh/Hkdc1
mmu04020,mmu04020,Calcium signaling pathway,138,-0.397240652,-1.73374309,0.001795332,0.009398255,0.005638615,1798,"tags=28%, list=14%, signal=24%",Mst1/Tpcn1/Camk2d/Orai3/Slc8a3/Slc25a5/Calm1/Stim2/Erbb3/Hrc/Ptger3/Itpka/Erbb2/Cacna1b/Calm2/Mylk/Vdac3/Gna14/Grin2a/Adora2b/Itpkc/Calml4/P2rx4/Plcd1/Ppif/Ltb4r2/Sphk2/Atp2b1/Gna11/Calm3/Tacr3/Stim1/Slc8a1/Fgf2/Pdgfrb/Mcoln3/Cd38/Ryr2
mmu01212,mmu01212,Fatty acid metabolism,52,-0.484617919,-1.763681925,0.001876173,0.009398255,0.005638615,3243,"tags=52%, list=26%, signal=39%",Scd4/Tecr/Scd2/Elovl5/Acadl/Hsd17b4/Ppt2/Oxsm/Acadvl/Acads/Acox3/Echs1/Acaa2/Hadha/Ppt1/Acadm/Cpt1c/Scd1/Hadhb/Cpt2/Cpt1a/Elovl1/Scp2/Hadh/Acox1/Acaa1b/Ehhadh
mmu00520,mmu00520,Amino sugar and nucleotide sugar metabolism,42,-0.506831096,-1.76454106,0.005565863,0.019887778,0.011931952,2779,"tags=48%, list=22%, signal=37%",Pgm3/Uap1/Hk1/Gpi1/Ugp2/Gmppb/Hk2/Mpi/Gale/Cyb5r4/Pgm2/Hexa/Amdhd2/Nagk/Pgm1/Hexb/Chil6/Gfpt1/Ugdh/Hkdc1
mmu04216,mmu04216,Ferroptosis,34,-0.536508506,-1.769458409,0.005859375,0.020438058,0.012262101,2490,"tags=47%, list=20%, signal=38%",Sat1/Hmox1/Atg5/Map1lc3b/Ncoa4/Gpx4/Ftl1/Vdac3/Sat2/Slc11a2/Lpcat3/Prnp/Slc39a14/Map1lc3a/Fth1/Slc40a1
mmu00564,mmu00564,Glycerophospholipid metabolism,79,-0.453026132,-1.793580745,0.001876173,0.009398255,0.005638615,1473,"tags=30%, list=12%, signal=27%",Lpin3/Plpp2/Pcyt1a/Ptdss1/Lypla1/Plpp3/Dgkq/Dgkh/Pld3/Plpp1/Ptdss2/Pla2g4f/Gpat3/Agpat1/Pla1a/Lpcat3/Lclat1/Gpcpd1/Phospho1/Pla2g12b/Agpat4/Pla2g4c/Pld1/Cds1
mmu04972,mmu04972,Pancreatic secretion,64,-0.4725193,-1.79410879,0.001869159,0.009398255,0.005638615,2211,"tags=41%, list=18%, signal=34%",Plcb3/Rhoa/Itpr2/Rab27b/Clca3b/Atp2a3/Kcnq1/Chrm3/Rab8a/Sct/Slc9a1/Rac1/Slc4a4/Rab11a/Bst1/Clca4a/Atp2b1/Pla2g12b/Clca1/Slc26a3/Slc4a2/Atp1b1/Atp1a1/Cd38/Ryr2/Clca4b
mmu01200,mmu01200,Carbon metabolism,99,-0.432380327,-1.795382084,0.001782531,0.009398255,0.005638615,3350,"tags=54%, list=27%, signal=40%",Rpe/Pgam1/Aldoc/Tkfc/Dlst/Gpt2/Pdhb/Dld/Tpi1/Aco1/Pfkl/Pdha1/Ogdhl/Pgk1/Hk1/Gapdh/Pklr/H6pd/Suclg2/Idh1/Aldh6a1/Got1/Gpi1/Pccb/Idh3b/Acads/Acox3/Sdhd/Hk2/Echs1/Ogdh/Aldoa/Mcee/Eno3/Sdsl/Suclg1/Aldob/Taldo1/Sdha/Cps1/Cs/Pfkp/Sdhc/Cat/Mdh1/Aco2/Pcx/Sdhb/Acox1/Gpt/Hkdc1/Me3/Hao2
mmu04144,mmu04144,Endocytosis,227,-0.392202176,-1.812640499,0.001692047,0.009398255,0.005638615,3304,"tags=43%, list=26%, signal=32%",Pdcd6ip/Arf1/Asap1/Smap1/Snf8/Actr2/Asap3/Tsg101/Rab5b/Chmp2b/Psd4/Cyth1/Stam2/Arpc2/Rhoa/Sh3glb1/Arf5/Agap1/Arf3/Cltc/Vps4a/Acap2/Arfgef2/Vps35/Grk2/Rab22a/Chmp4c/Epn1/Arpc5/Wasl/Dnajc6/Src/Snx5/Hspa1b/Ap2s1/Stambp/Gm8909/Arpc3/Epn3/Chmp1a/Rab11b/Chmp4b/Smurf2/Ist1/Vps37c/Smap2/Ap2a2/Sh3gl2/Pard6b/Arap2/Snx3/Arpc1a/Rab8a/Asap2/Zfyve16/Rab5c/Cbl/Itch/Pard6a/Ldlr/Vps28/Iqsec2/Gbf1/Igf2r/Arfgap3/Capzb/H2-Q10/Cdc42/Chmp2a/Vps37b/Actr3/Rab11a/Chmp1b/Arf6/Clta/Wipf2/Hspa1a/Chmp3/Cav1/Prkcz/Rab11fip1/Nedd4l/Zfyve9/Chmp5/Pip5k1b/H2-Q4/H2-T22/H2-T23/Rab11fip4/H2-K1/Wipf3/Pld1/Rab4a/H2-Q7/H2-T3/H2-Q2/H2-Q6/H2-Q1
mmu04940,mmu04940,Type I diabetes mellitus,26,-0.59367946,-1.818496367,0.005964215,0.020558999,0.012334661,585,"tags=42%, list=5%, signal=40%",Ptprn2/H2-Q4/H2-T22/H2-T23/H2-K1/Fas/H2-Q7/H2-T3/H2-Q2/H2-Q6/H2-Q1
mmu00280,mmu00280,"Valine, leucine and isoleucine degradation",45,-0.517678358,-1.827629051,0.003802281,0.014658795,0.008794751,2531,"tags=51%, list=20%, signal=41%",Auh/Aldh7a1/Hmgcs1/Aldh6a1/Pccb/Acads/Aldh2/Echs1/Acaa2/Mcee/Hadha/Aldh3a2/Acadm/Hibadh/Oxct1/Hadhb/Hadh/Hmgcl/Aldh1b1/Hmgcs2/Acaa1b/Ehhadh/Abat
mmu05169,mmu05169,Epstein-Barr virus infection,166,-0.417887557,-1.863313276,0.001760563,0.009398255,0.005638615,1587,"tags=23%, list=13%, signal=21%",H2-Q10/Relb/Gadd45a/Tnfaip3/Mapk13/Tradd/Cycs/Casp9/Mavs/Sap30l/Gadd45b/Oas3/Stat2/Vim/Tapbp/H2-Q4/H2-T22/H2-T23/Cdkn1a/Ddx58/Stat1/Tap2/Rb1/H2-K1/Tlr2/Fas/H2-Q7/Tap1/H2-T3/H2-Q2/B2m/Irf9/H2-Q6/Oas2/Oas1a/H2-Q1/Isg15/Irf7/Oas1g
mmu05167,mmu05167,Kaposi sarcoma-associated herpesvirus infection,157,-0.424202943,-1.876465152,0.001801802,0.009398255,0.005638615,2537,"tags=36%, list=20%, signal=29%",Gnb5/Gsk3b/Mtor/Cd200r2/Map2k6/Src/Pik3cd/Gm8909/Nfkbia/Gngt2/Tnfrsf1a/Ubb/Gnb1/Chuk/Gng5/Map2k1/Ubc/Rac1/Tcf7l2/Map1lc3b/Gng12/H2-Q10/Zfp36/Tlr3/Mapk13/Calm1/Tradd/Rcan1/Cycs/Casp9/Calm2/Calml4/Mapk3/Ifngr1/Stat2/Calm3/H2-Q4/H2-T22/H2-T23/Map1lc3a/Cdkn1a/Ticam1/Stat1/Rb1/Fgf2/H2-K1/Fas/H2-Q7/H2-T3/H2-Q2/Irf9/Ccr1/H2-Q6/H2-Q1/Irf7/Clec2h
mmu05416,mmu05416,Viral myocarditis,42,-0.541732995,-1.886052615,0.003710575,0.01449598,0.008697067,1807,"tags=45%, list=14%, signal=39%",Gm8909/H2-DMa/Itgb2l/Rac1/H2-Q10/Actg1/Cav1/Cycs/Casp9/Cxadr/H2-Q4/H2-T22/H2-T23/H2-K1/H2-Q7/H2-T3/H2-Q2/H2-Q6/H2-Q1
mmu00620,mmu00620,Pyruvate metabolism,36,-0.56206317,-1.887270456,0.001934236,0.009398255,0.005638615,3773,"tags=61%, list=30%, signal=43%",Fh1/Acss1/Adh5/Acyp1/Mdh2/Pdhb/Dld/Hagh/Pdha1/Pklr/Aldh7a1/Akr1a1/Aldh2/Aldh3a2/Pck1/Ldhb/Ldha/Mdh1/Pcx/Aldh1b1/Me3/Adh1
mmu00010,mmu00010,Glycolysis / Gluconeogenesis,54,-0.511486764,-1.887354365,0.001845018,0.009398255,0.005638615,3341,"tags=65%, list=27%, signal=48%",Pgam1/Aldoc/Minpp1/Pdhb/Dld/Tpi1/Pfkl/Pdha1/G6pc/Pgk1/Hk1/Gapdh/Pklr/Aldh7a1/Akr1a1/Gpi1/Aldh2/Hk2/Aldoa/Aldh3a2/Eno3/Aldob/Pck1/Pgm2/Ldhb/Ldha/Pgm1/Pfkp/Aldh3b3/Galm/Aldh3b2/Aldh3b1/Aldh1b1/Hkdc1/Adh1
mmu04145,mmu04145,Phagosome,106,-0.458389087,-1.913871836,0.001779359,0.009398255,0.005638615,1971,"tags=38%, list=16%, signal=32%",Gm8909/Olr1/H2-DMa/Atp6v1g1/Rab5c/Atp6v1d/Atp6ap1/Itgb2l/Rac1/Thbs4/H2-Q10/Atp6v1e1/Actg1/Ncf2/Atp6v1a/Atp6v0e/Tubal3/Stx12/Tubb2a/Lamp2/Lamp1/Atp6v0b/Atp6v0d1/Rilp/H2-Q4/H2-T22/H2-T23/Cyba/Atp6v0a2/Tap2/H2-K1/Tlr2/H2-Q7/Tap1/H2-T3/H2-Q2/H2-Q6/Atp6v0e2/Ctss/H2-Q1
mmu04726,mmu04726,Serotonergic synapse,76,-0.486933138,-1.924741082,0.001831502,0.009398255,0.005638615,2319,"tags=42%, list=18%, signal=35%",App/Cyp2c23/Gnai2/Gngt2/Prkaca/Gnb1/Maob/Gng5/Dusp1/Map2k1/Gng12/Tph1/Cacna1b/Htr1d/Pla2g4f/Cyp2c68/Mapk3/Alox12b/Cyp2d34/Slc6a4/Cyp2j6/Gnao1/Maoa/Cyp2d12/Pla2g4c/Cyp2c55/Cyp2c66/Cyp2c29/Cyp2d9/Cyp2d10/Cyp2d26/Cyp2c65
mmu00020,mmu00020,Citrate cycle (TCA cycle),30,-0.61438719,-1.925651099,0.001996008,0.009398255,0.005638615,3223,"tags=70%, list=26%, signal=52%",Mdh2/Dlst/Pdhb/Dld/Aco1/Pdha1/Ogdhl/Suclg2/Idh1/Idh3b/Sdhd/Ogdh/Suclg1/Sdha/Pck1/Cs/Sdhc/Mdh1/Aco2/Pcx/Sdhb
mmu00052,mmu00052,Galactose metabolism,27,-0.622517132,-1.930704331,0.001972387,0.009398255,0.005638615,2840,"tags=67%, list=23%, signal=52%",Sis/Pfkl/G6pc/Gaa/Hk1/Ugp2/Hk2/Gale/Glb1/Ganc/Mgam/B4galt1/Pgm2/Pgm1/Pfkp/Akr1b7/Galm/Hkdc1
mmu04979,mmu04979,Cholesterol metabolism,41,-0.562255564,-1.951558816,0.001876173,0.009398255,0.005638615,2048,"tags=39%, list=16%, signal=33%",Apob/Npc2/Ldlr/Npc1/Abcg8/Lipa/Abcg5/Lipg/Apoa1/Vdac3/Cyp27a1/Angptl4/Sort1/Apoa4/Cideb/Apoc3
mmu00410,mmu00410,beta-Alanine metabolism,27,-0.630621922,-1.955840912,0.001972387,0.009398255,0.005638615,2432,"tags=67%, list=19%, signal=54%",Aldh7a1/Mlycd/Aldh6a1/Acads/Acox3/Aldh2/Cndp1/Echs1/Hadha/Aldh3a2/Aldh3b3/Aldh3b2/Aldh3b1/Acox1/Aldh1b1/Dpyd/Ehhadh/Abat
mmu00640,mmu00640,Propanoate metabolism,27,-0.632454493,-1.961524535,0.001972387,0.009398255,0.005638615,2378,"tags=56%, list=19%, signal=45%",Suclg2/Mlycd/Aldh6a1/Pccb/Acads/Acox3/Echs1/Mcee/Hadha/Suclg1/Ldhb/Ldha/Acox1/Ehhadh/Abat
mmu02010,mmu02010,ABC transporters,38,-0.582992152,-1.97505251,0.001949318,0.009398255,0.005638615,1596,"tags=45%, list=13%, signal=39%",Abcd1/Abcd4/Defb1/Abca3/Abcg8/Abcg5/Abcd3/Abcb9/Abcc2/Abca5/Abcc3/Abca13/Tap2/Abcc6/Tap1/Abcg2/Abca12
mmu00561,mmu00561,Glycerolipid metabolism,49,-0.550979023,-1.988973958,0.001886792,0.009398255,0.005638615,2432,"tags=53%, list=19%, signal=43%",Aldh7a1/Akr1a1/Lpl/Dgka/Mogat2/Agpat2/Gk/Dgat2/Aldh2/Aldh3a2/Abhd16a/Lpin3/Plpp2/Plpp3/Dgkq/Dgkh/Lipg/Plpp1/Pnpla2/Gpat3/Agpat1/Lclat1/Akr1b7/Dgat1/Aldh1b1/Agpat4
mmu05020,mmu05020,Prion disease,222,-0.436847984,-2.006809212,0.001712329,0.009398255,0.005638615,2582,"tags=41%, list=21%, signal=33%",Tubb3/Creb3/Ndufa12/Gsk3b/Ndufa9/Ndufs8/Casp12/Ndufa2/Ndufa10/Ndufs6/Hspa1b/Ndufa8/Pik3cd/Atp5b/Ndufv1/Ndufa5/Ndufs5/Prkaca/Ndufv3/Uqcrc2/Atp5a1/Sdhd/Ndufb7/Atp5d/Ndufs2/Ndufa11/Ndufb4/Cyc1/COX3/Atp5g3/Atp5g1/Rac1/Ndufb8/Atp5c1/Sod1/Uqcr11/Ndufb5/Atp5j/Cox6c/Ndufb6/Ncf2/Cox5b/Tubal3/Ndufb9/Uqcr10/Sdha/Ndufv2/Ndufc2/Atp5e/Cox7b/Ndufa13/Hspa1a/Slc25a5/Atp5h/Mapk13/Cox7a2l/Tubb2a/Atp5o/Cav1/Cycs/Casp9/Cacna1b/Cox7c/Ndufs7/Cox4i1/Vdac3/Ndufa6/Grin2a/Cox5a/Ndufc1/Uqcrq/Cox8a/Klc4/Ndufb10/Mapk3/Sdhc/Cox7a2/Uqcrfs1/Uqcrh/Ndufa1/Ppif/Prnp/Cox6a1/Uqcrb/Cyba/Ddit3/Sdhb/Cox7a1/C9/Grin3a/Ryr2
mmu05164,mmu05164,Influenza A,110,-0.482499023,-2.01411919,0.001801802,0.009398255,0.005638615,2275,"tags=36%, list=18%, signal=30%",Pik3cd/Cxcl10/Rab11b/Nfkbia/Tnfrsf1a/H2-DMa/Chuk/Map2k1/Adar/Socs3/Tlr3/Actg1/Rab11a/Ifngr2/Slc25a5/Tradd/Cycs/Casp9/Trim25/Casp1/Mavs/Tmprss4/Mapk3/Ifngr1/Oas3/Stat2/Nlrx1/Ddx58/Ticam1/Stat1/Rnasel/Fas/Ifih1/Irf9/Rsad2/Pycard/Oas2/Oas1a/Irf7/Oas1g
mmu00591,mmu00591,Linoleic acid metabolism,25,-0.666809702,-2.025708862,0.001953125,0.009398255,0.005638615,1003,"tags=64%, list=8%, signal=59%",Cyp3a44/Cyp2c70/Cyp2j9/Cyp2c23/Cyp3a25/Cyp3a11/Pla2g4f/Cyp2c68/Pla2g12b/Cyp2j6/Pla2g4c/Cyp2c55/Cyp2c66/Cyp2c29/Cyp3a13/Cyp2c65
mmu05012,mmu05012,Parkinson disease,230,-0.443368703,-2.050525543,0.001683502,0.009398255,0.005638615,2582,"tags=44%, list=21%, signal=36%",Tubb3/Gnal/Ndufa12/Ndufa9/Ndufs8/Keap1/Ndufa2/Ndufa10/Ndufs6/Uba1y/Ndufa8/Prkn/Gnai2/Atp5b/Ndufv1/Ndufa5/Ndufs5/Prkaca/Ndufv3/Ubb/Uqcrc2/Atp5a1/Sdhd/Ndufb7/Atp5d/Ndufs2/Ndufa11/Ndufb4/Cyc1/COX3/Maob/Atp5g3/Dusp1/Atp5g1/Ubc/Camk2d/Ndufb8/Atp5c1/Sod1/Uqcr11/Ndufb5/Atp5j/Cox6c/Ndufb6/Cox5b/Tubal3/Ndufb9/Uqcr10/Sdha/Snca/Ndufv2/Ndufc2/Nfe2l2/Atp5e/Cox7b/Ndufa13/Slc25a5/Atp5h/Cox7a2l/Calm1/Tubb2a/Atp5o/Cycs/Casp9/Calm2/Ern1/Cox7c/Ndufs7/Mfn2/Cox4i1/Vdac3/Txn1/Ndufa6/Cox5a/Ndufc1/Uqcrq/Cox8a/Klc4/Ndufb10/Slc11a2/Calml4/Sdhc/Cox7a2/Uqcrfs1/Uqcrh/Ndufa1/Ppif/Cox6a1/Slc39a9/Calm3/Slc39a14/Uqcrb/Ddit3/Maoa/Pink1/Slc39a4/Sdhb/Uba7/Cox7a1/Ube2l6/Slc39a5
mmu04974,mmu04974,Protein digestion and absorption,47,-0.580665421,-2.063040227,0.001937984,0.009398255,0.005638615,463,"tags=28%, list=4%, signal=27%",Slc8a1/Slc7a9/Dpp4/Mep1b/Kcnk5/Atp1b1/Atp1a1/Slc3a1/Ace2/Xpnpep2/Slc15a1/Mep1a/Slc9a3
mmu04621,mmu04621,NOD-like receptor signaling pathway,135,-0.475909759,-2.073750167,0.001782531,0.009398255,0.005638615,1522,"tags=29%, list=12%, signal=26%",Map1lc3b/Naip2/Birc3/Tnfaip3/Mapk13/Gabarapl2/Rnf31/Casp1/Mfn2/Vdac3/Mavs/Txn1/Naip1/Erbin/Casp4/Mapk3/Ctsb/Gabarap/Oas3/Stat2/Nlrx1/Map1lc3a/Cyba/Ticam1/Card6/Gbp7/Stat1/Gbp3/Gbp2/Ifi204/Rnasel/Nlrp6/Irf9/Pycard/Nlrp1b/Oas2/Oas1a/Irf7/Oas1g
mmu00600,mmu00600,Sphingolipid metabolism,49,-0.579030241,-2.090235783,0.001886792,0.009398255,0.005638615,2133,"tags=53%, list=17%, signal=44%",B4galnt1/Cers6/Neu2/Cers4/Asah1/B4galt5/Sgpp2/Psap/Plpp2/Glb1/Sptlc2/Plpp3/Degs2/Sgpl1/Hexa/Ugt8a/Plpp1/Sgms2/Gba/Neu1/Smpd1/Sphk2/Hexb/Acer1/Neu3/Gal3st1
mmu00071,mmu00071,Fatty acid degradation,38,-0.623009439,-2.110622505,0.001949318,0.009398255,0.005638615,2138,"tags=58%, list=17%, signal=48%",Cyp2u1/Aldh7a1/Acadvl/Acads/Acox3/Aldh2/Echs1/Acaa2/Hadha/Aldh3a2/Acadm/Cpt1c/Hadhb/Cpt2/Cpt1a/Hadh/Acox1/Aldh1b1/Eci3/Acaa1b/Ehhadh/Adh1
mmu05330,mmu05330,Allograft rejection,21,-0.725499115,-2.129211318,0.001956947,0.009398255,0.005638615,585,"tags=48%, list=5%, signal=45%",H2-Q4/H2-T22/H2-T23/H2-K1/Fas/H2-Q7/H2-T3/H2-Q2/H2-Q6/H2-Q1
